Start Time;06/05/2026 09:39:35

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
13,687;0,001953125;
13,72;0,001953125;
13,753;0,001953125;
13,786;0,001953125;
13,809;0,001953125;
13,824;0,001953125;
13,84;0,001953125;
13,856;0,001953125;
13,869;0,001953125;
13,886;0,001953125;
13,905;-0,00390625;
13,933;0,001953125;
13,948;0,001953125;
13,967;-0,005859375;
13,993;-0,005859375;
14,011;-0,005859375;
14,046;-0,005859375;
14,069;-0,005859375;
14,086;-0,005859375;
14,1;0;
14,119;-0,005859375;
14,148;-0,001953125;
14,166;-0,001953125;
14,202;0,001953125;
14,226;0,001953125;
14,242;0,001953125;
14,262;0,001953125;
14,29;0,001953125;
14,306;0,001953125;
14,334;0,001953125;
14,357;0,001953125;
14,381;0,001953125;
14,398;0,001953125;
14,413;0,001953125;
14,429;0,001953125;
14,444;0,001953125;
14,459;0,001953125;
14,476;0,001953125;
14,489;0,001953125;
14,507;0,001953125;
14,537;0,001953125;
14,552;0,001953125;
14,568;0,001953125;
14,58;0,001953125;
14,6;-0,001953125;
14,612;0,001953125;
14,629;-0,00390625;
14,645;0,001953125;
14,662;0,001953125;
14,676;0;
14,693;-0,00390625;
14,704;-0,005859375;
14,721;-0,001953125;
14,737;-0,005859375;
14,757;0;
14,784;0,001953125;
14,799;0;
14,813;0,001953125;
14,832;0,001953125;
14,849;0,001953125;
14,882;0,001953125;
14,91;-0,001953125;
14,94;0,001953125;
14,955;-0,001953125;
14,97;0;
14,986;-0,001953125;
15,004;-0,005859375;
15,036;-0,005859375;
15,062;-0,001953125;
15,08;0,001953125;
15,094;-0,00390625;
15,115;-0,001953125;
15,141;0,001953125;
15,157;0,001953125;
15,172;0,001953125;
15,186;-0,00390625;
15,202;-0,005859375;
15,217;-0,005859375;
15,231;-0,00390625;
15,25;-0,005859375;
15,279;0;
15,297;-0,001953125;
15,33;-0,005859375;
15,358;-0,00390625;
15,375;-0,005859375;
15,387;-0,005859375;
15,404;-0,005859375;
15,421;-0,005859375;
15,436;-0,005859375;
15,451;-0,00390625;
15,465;-0,005859375;
15,481;-0,005859375;
15,498;-0,00390625;
15,514;-0,005859375;
15,529;-0,005859375;
15,544;-0,005859375;
15,561;-0,005859375;
15,576;-0,005859375;
15,593;-0,001953125;
15,607;-0,005859375;
15,622;-0,005859375;
15,638;-0,005859375;
15,653;-0,005859375;
15,67;-0,005859375;
15,7;-0,005859375;
15,714;-0,005859375;
15,734;-0,005859375;
15,761;-0,005859375;
15,78;-0,005859375;
15,807;-0,005859375;
15,823;-0,005859375;
15,842;-0,005859375;
15,869;-0,005859375;
15,884;-0,005859375;
15,9;-0,005859375;
15,916;-0,005859375;
15,931;-0,005859375;
15,949;-0,005859375;
15,961;-0,005859375;
15,978;-0,001953125;
15,999;-0,001953125;
16,03;-0,00390625;
16,056;-0,005859375;
16,074;-0,005859375;
16,087;-0,005859375;
16,107;-0,001953125;
16,133;0;
16,151;-0,005859375;
16,164;-0,001953125;
16,181;0;
16,198;0,001953125;
16,212;0,001953125;
16,234;0;
16,259;-0,001953125;
16,276;0;
16,291;-0,005859375;
16,306;-0,005859375;
16,321;-0,005859375;
16,338;-0,005859375;
16,351;-0,005859375;
16,369;-0,005859375;
16,384;-0,005859375;
16,399;-0,005859375;
16,415;-0,005859375;
16,43;-0,005859375;
16,45;-0,005859375;
16,483;-0,005859375;
16,507;-0,005859375;
16,523;-0,005859375;
16,538;-0,00390625;
16,556;-0,005859375;
16,577;-0,005859375;
16,604;-0,005859375;
16,623;-0,005859375;
16,65;-0,005859375;
16,664;-0,005859375;
16,686;-0,005859375;
16,712;-0,005859375;
16,731;-0,005859375;
16,759;0;
16,775;-0,005859375;
16,787;-0,001953125;
16,803;-0,001953125;
16,823;-0,005859375;
16,855;0;
16,884;-0,00390625;
16,912;-0,001953125;
16,928;0;
16,944;-0,001953125;
16,96;-0,00390625;
16,974;0,001953125;
16,989;-0,001953125;
17,005;0,001953125;
17,025;-0,00390625;
17,052;0;
17,069;0,001953125;
17,087;0,001953125;
17,115;-0,001953125;
17,129;-0,001953125;
17,147;0,001953125;
17,175;0,001953125;
17,19;-0,001953125;
17,206;0,001953125;
17,221;-0,001953125;
17,237;0;
17,255;0;
17,286;0;
17,315;0,001953125;
17,329;0,001953125;
17,344;-0,001953125;
17,358;0,001953125;
17,376;0,001953125;
17,389;-0,001953125;
17,411;-0,001953125;
17,436;0;
17,451;0;
17,466;-0,005859375;
17,484;-0,005859375;
17,498;-0,001953125;
17,517;-0,005859375;
17,534;-0,00390625;
17,561;-0,005859375;
17,576;-0,005859375;
17,591;-0,005859375;
17,607;-0,001953125;
17,623;-0,005859375;
17,638;-0,005859375;
17,655;-0,00390625;
17,67;-0,001953125;
17,684;-0,001953125;
17,707;-0,001953125;
17,732;-0,00390625;
17,747;-0,00390625;
17,77;-0,005859375;
17,802;-0,005859375;
17,824;-0,005859375;
17,841;-0,005859375;
17,856;-0,005859375;
17,87;-0,005859375;
17,889;-0,005859375;
17,902;-0,00390625;
17,92;-0,005859375;
17,934;-0,005859375;
17,95;-0,005859375;
17,965;-0,001953125;
17,981;0;
17,995;-0,001953125;
18,018;0,001953125;
18,042;0,001953125;
18,057;-0,00390625;
18,074;-0,005859375;
18,087;0,001953125;
18,106;0,001953125;
18,119;0,001953125;
18,134;-0,001953125;
18,15;-0,00390625;
18,164;-0,001953125;
18,183;0,001953125;
18,197;0;
18,216;-0,001953125;
18,246;0;
18,261;-0,005859375;
18,278;0;
18,289;0,001953125;
18,31;0,001953125;
18,339;0,001953125;
18,352;0,001953125;
18,37;0,001953125;
18,386;0,001953125;
18,398;0;
18,418;0,001953125;
18,446;0;
18,461;-0,00390625;
18,481;-0,005859375;
18,512;-0,005859375;
18,541;-0,005859375;
18,554;-0,005859375;
18,573;-0,00390625;
18,6;-0,005859375;
18,617;-0,005859375;
18,632;-0,005859375;
18,647;-0,001953125;
18,666;-0,005859375;
18,679;-0,005859375;
18,693;-0,005859375;
18,709;-0,005859375;
18,729;-0,005859375;
18,756;-0,005859375;
18,772;-0,005859375;
18,788;-0,005859375;
18,805;-0,005859375;
18,818;-0,005859375;
18,838;-0,005859375;
18,864;-0,005859375;
18,887;-0,005859375;
18,914;-0,005859375;
18,93;-0,005859375;
18,946;-0,005859375;
18,96;-0,005859375;
18,978;-0,005859375;
18,992;-0,005859375;
19,009;-0,005859375;
19,023;-0,005859375;
19,038;-0,005859375;
19,054;-0,005859375;
19,076;-0,005859375;
19,1;-0,005859375;
19,115;-0,005859375;
19,133;-0,005859375;
19,145;-0,00390625;
19,17;-0,005859375;
19,196;-0,005859375;
19,226;-0,005859375;
19,241;-0,005859375;
19,258;-0,005859375;
19,286;-0,005859375;
19,307;-0,005859375;
19,332;-0,005859375;
19,348;-0,005859375;
19,364;-0,005859375;
19,379;-0,005859375;
19,394;-0,005859375;
19,41;-0,001953125;
19,425;-0,005859375;
19,442;-0,005859375;
19,455;-0,005859375;
19,474;-0,005859375;
19,501;-0,005859375;
19,521;-0,005859375;
19,552;-0,005859375;
19,566;-0,005859375;
19,584;-0,005859375;
19,597;-0,005859375;
19,612;-0,005859375;
19,628;-0,005859375;
19,651;-0,005859375;
19,678;0;
19,708;0,001953125;
19,728;0,001953125;
19,754;0;
19,77;0,001953125;
19,784;0,001953125;
19,799;0,001953125;
19,814;0;
19,83;0,001953125;
19,846;0;
19,861;0,001953125;
19,877;0,001953125;
19,894;0,001953125;
19,911;-0,001953125;
19,923;-0,005859375;
19,94;-0,005859375;
19,956;-0,001953125;
19,97;-0,005859375;
19,993;-0,005859375;
20,017;0;
20,039;0,001953125;
20,064;-0,001953125;
20,081;0,001953125;
20,1;0,001953125;
20,126;0,001953125;
20,142;0,001953125;
20,158;0,001953125;
20,174;0;
20,188;0,001953125;
20,207;0,001953125;
20,235;0,001953125;
20,25;0,001953125;
20,266;0,001953125;
20,283;0,001953125;
20,298;0,001953125;
20,314;0,001953125;
20,328;-0,00390625;
20,344;0,001953125;
20,358;-0,00390625;
20,377;0,001953125;
20,39;-0,001953125;
20,404;-0,005859375;
20,421;-0,005859375;
20,437;-0,005859375;
20,454;-0,005859375;
20,477;-0,005859375;
20,499;0;
20,516;-0,005859375;
20,534;0;
20,568;-0,005859375;
20,595;-0,005859375;
20,608;-0,00390625;
20,627;-0,001953125;
20,642;-0,005859375;
20,656;-0,005859375;
20,672;-0,005859375;
20,688;-0,005859375;
20,704;-0,001953125;
20,717;-0,005859375;
20,735;-0,001953125;
20,755;-0,001953125;
20,782;-0,005859375;
20,8;-0,005859375;
20,829;-0,005859375;
20,844;-0,005859375;
20,86;-0,005859375;
20,875;-0,005859375;
20,889;-0,005859375;
20,907;-0,005859375;
20,919;-0,005859375;
20,937;-0,005859375;
20,952;-0,005859375;
20,966;-0,005859375;
20,986;-0,005859375;
21,014;-0,005859375;
21,031;-0,005859375;
21,046;-0,005859375;
