Start Time;06/05/2026 13:36:34

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
4,15;-0,001953125;
4,166;0;
4,185;-0,005859375;
4,214;-0,00390625;
4,229;-0,005859375;
4,247;-0,005859375;
4,276;-0,005859375;
4,294;-0,005859375;
4,32;-0,005859375;
4,342;-0,005859375;
4,377;-0,005859375;
4,4;-0,005859375;
4,416;-0,005859375;
4,434;-0,005859375;
4,466;-0,005859375;
4,491;-0,005859375;
4,507;-0,005859375;
4,523;-0,005859375;
4,54;-0,005859375;
4,553;-0,005859375;
4,571;-0,005859375;
4,59;-0,005859375;
4,625;-0,001953125;
4,647;-0,005859375;
4,665;-0,005859375;
4,677;-0,005859375;
4,695;-0,005859375;
4,71;-0,005859375;
4,727;-0,005859375;
4,758;0;
4,785;-0,001953125;
4,807;-0,005859375;
4,833;-0,005859375;
4,848;-0,00390625;
4,864;-0,005859375;
4,88;-0,005859375;
4,896;-0,00390625;
4,911;-0,005859375;
4,925;-0,005859375;
4,943;-0,005859375;
4,956;-0,005859375;
4,973;-0,005859375;
4,99;-0,005859375;
5,011;-0,005859375;
5,036;-0,005859375;
5,05;-0,005859375;
5,071;-0,005859375;
5,098;-0,005859375;
5,129;-0,005859375;
5,144;-0,005859375;
5,157;-0,005859375;
5,176;-0,005859375;
5,204;-0,005859375;
5,222;-0,005859375;
5,256;-0,005859375;
5,283;-0,005859375;
5,298;-0,005859375;
5,314;-0,005859375;
5,327;-0,005859375;
5,344;-0,005859375;
5,37;-0,005859375;
5,391;-0,005859375;
5,406;-0,005859375;
5,42;-0,005859375;
5,439;-0,005859375;
5,471;-0,005859375;
5,504;-0,005859375;
5,53;-0,005859375;
5,545;-0,005859375;
5,56;-0,005859375;
5,576;-0,005859375;
5,59;-0,005859375;
5,606;-0,005859375;
5,624;-0,005859375;
5,657;-0,005859375;
5,687;-0,005859375;
5,721;-0,005859375;
5,744;-0,005859375;
5,762;-0,005859375;
5,776;-0,005859375;
5,791;-0,00390625;
5,81;-0,005859375;
5,838;-0,005859375;
5,854;-0,005859375;
5,869;-0,005859375;
5,887;-0,005859375;
5,91;-0,005859375;
5,935;-0,005859375;
5,968;-0,005859375;
5,995;-0,005859375;
6,01;-0,005859375;
6,026;-0,005859375;
6,042;-0,005859375;
6,058;-0,005859375;
6,073;-0,005859375;
6,086;-0,005859375;
6,102;-0,005859375;
6,117;-0,005859375;
6,14;-0,005859375;
6,167;-0,005859375;
6,201;-0,005859375;
6,226;-0,005859375;
6,241;-0,005859375;
6,26;-0,005859375;
6,289;-0,005859375;
6,316;-0,005859375;
6,337;-0,005859375;
6,363;-0,005859375;
6,379;-0,005859375;
6,403;-0,005859375;
6,426;-0,005859375;
6,44;-0,005859375;
6,458;-0,005859375;
6,47;-0,005859375;
6,487;-0,005859375;
6,502;-0,005859375;
6,516;-0,005859375;
6,534;-0,005859375;
6,548;-0,005859375;
6,572;-0,005859375;
6,594;-0,005859375;
6,618;-0,005859375;
6,652;-0,005859375;
6,672;-0,005859375;
6,689;-0,005859375;
6,707;-0,005859375;
6,732;-0,005859375;
6,748;-0,005859375;
6,764;-0,005859375;
6,78;-0,005859375;
